model,graphs,nodes,unique_edges,sampled_non_edges,node_feature_mse,edge_feature_mse,aa_identity_accuracy_pct,aa_identity_misclassified_pct,chain_accuracy_pct,interface_node_accuracy_pct,interface_edge_accuracy_pct,rsasa_i_mae,rsasa_i_rmse,rsasa_i_bias,drsasa_mae,drsasa_rmse,drsasa_bias,ca_dist_mae_angstrom,ca_dist_rmse_angstrom,ca_dist_bias_angstrom,edge_recall_pct,edge_precision_pct,edge_specificity_pct,sampled_edge_accuracy_pct,edge_f1_pct,target_id
gat2_01_rsasa_i,1350,410400,2343581,2343581,0.03139543841759909,1.3818451386843,48.30872319688109,51.69127680311891,99.6583820662768,97.29605263157895,98.09005961389856,0.02914054283156962,0.036443593889739265,-0.012863157499095036,,,,1.3566675759225078,1.6582109748147202,-0.045978918660080394,9.742953198545303,96.07914092875298,99.6024033306295,54.67267826458739,17.69185501657541,1acb
gat2_01_rsasa_i,1233,483336,2749819,2749819,0.03136406006069503,1.4109800837864521,50.04675836271248,49.95324163728752,99.92944866511081,97.7704950593376,98.77268285658074,0.03002743995112518,0.03770312176532266,-0.008643223889136192,,,,1.3532033445918679,1.6773256091017037,-0.05158858436335136,10.181579223941648,96.80280199984786,99.66372332142588,54.922651272683765,18.425220324437877,1avx
gat2_01_rsasa_i,1303,465171,2640060,2640060,0.03072839004434822,1.7580550575384946,48.42670759785111,51.57329240214889,99.98624161867356,98.65748294713127,99.70629455391166,0.027217021411483827,0.03413260098134708,-0.00697889253183033,,,,1.5288474757749941,1.874146934600977,0.019535374397586815,10.249198881843595,95.262655743361,99.4903146140618,54.8697567479527,18.507226665563195,1buh
gat2_01_rsasa_i,1488,410688,2309478,2309478,0.032272471855035845,1.3253116102244784,45.48172822191055,54.518271778089456,99.70001558360605,97.42919199002648,97.98911269126617,0.03466546496247807,0.04282611456302206,-0.02455653239419495,,,,1.3313670285253583,1.6239592988711251,-0.05349602182952825,9.741638586728255,96.15106822173881,99.61004174969409,54.675840168211174,17.690905909851324,1fle
gat2_01_rsasa_i,1117,726050,4349423,4349423,0.03047083180864382,1.580713162650576,50.3757316989188,49.6242683010812,99.9709386405895,99.03519041388334,99.57978334137655,0.06559389225896926,0.07147767449605702,0.06532253243576584,,,,1.4345226633994757,1.7770864047023998,-0.022538064351121666,24.56093601381149,91.361113035387,97.67757700274267,61.119256508277076,38.71419578617695,1gla
gat2_01_rsasa_i,1164,542424,3147511,3147511,0.02928102859645004,1.3673255700967963,51.57275489285135,48.42724510714865,99.98654189342653,98.52845744288601,99.56880214239125,0.02667155748672275,0.03444184728863241,0.007577023835298066,,,,1.3394859740431357,1.652125866232829,-0.05272845855217262,16.0749239637288,94.61546804698983,99.08518191040476,57.58005293706678,27.48091188439724,1m10
gat2_01_rsasa_i,1405,456625,2641744,2641744,0.030097851027255554,1.1198381697814819,52.65808924171913,47.34191075828087,99.97766219545579,97.6902272105119,98.31228915443737,0.02343894345721838,0.03019388372002158,0.009101916753573512,,,,1.2034630029390918,1.4929142571104475,0.01329810643530538,14.604443125450459,94.5105714796642,99.15173461168077,56.87808886856561,25.299437862401696,1r0r
gat2_01_rsasa_i,1307,218269,1112364,1112364,0.035307184986119754,1.3869906140149844,47.37365361091131,52.626346389088695,98.89539971319795,89.05158313823767,90.48611785350839,0.04696987007861552,0.05815051994240517,-0.03851213300921575,,,,1.3368774521826727,1.6468635946288552,-0.09113647702854884,9.563326393159075,93.30509069220784,99.31380375488598,54.43856507402253,17.34851301721495,1r8o
gat2_01_rsasa_i,1389,229185,1206270,1206270,0.0315047875820572,1.4551817742084392,51.655213037502456,48.344786962497544,99.99563671269934,97.39249950913018,99.47350095749708,0.040988150118772416,0.05151826704930106,-0.03307578657576246,,,,1.3907982600604225,1.704186827730385,-0.030634412841637492,12.780472033624314,95.45530534280248,99.39151267958252,56.08599235660341,22.542709813076257,1wmh
gat2_01_rsasa_i,1002,468936,2738316,2738316,0.030518450607716432,1.2711520930185172,52.670726922223935,47.329273077776065,99.98528583857926,98.88833444222665,99.63667451090377,0.031266721939360115,0.03855646401772188,0.02692158254900354,,,,1.2821021732975268,1.5931599939376244,-0.038939619984322056,13.441618863564322,95.18457699220316,99.3199835227198,56.38080119314206,23.556653080581157,1xg2
gat2_01_rsasa_i,1107,611064,3525132,3525132,0.030321567489469223,1.6250157989429546,51.62863464383436,48.37136535616564,99.82489559195109,98.00053676865271,99.08176488142855,0.02412467806586756,0.030608611733105244,5.943656881977251e-05,,,,1.456763776638364,1.800849550197209,-0.009193890961145193,11.349163662523845,96.89578338056141,99.63641077837653,55.49278722045018,20.31847460476351,1zhh
gat2_01_rsasa_i,869,373670,2114285,2114285,0.03181072743329221,1.73360694382572,47.30055931704445,52.699440682955554,99.67591725319132,97.40947895201649,98.55856708059699,0.027504618842227817,0.034719825148095664,-0.008166440889037131,,,,1.514537595160901,1.8590472347935054,-0.0907895023840483,13.218747709036387,95.38439485880835,99.36035113525377,56.28954942214508,23.219627373674392,2ayo
gat2_01_rsasa_i,1336,553104,3157962,3157962,0.02973061275577055,1.369206253155343,51.946288582255775,48.053711417744225,99.60640313575747,98.18171627758974,98.80869370815735,0.026429994718943434,0.032788303448413866,-0.004060543386600297,,,,1.3108330551673832,1.652042710637568,0.04037157628664783,8.80124586679637,96.39582148356756,99.67092700925471,54.23608643802553,16.12979043575504,2c0l
gat2_01_rsasa_i,1224,243576,1326167,1326167,0.03207083496243139,1.3922005388365906,51.90905507931816,48.09094492068184,99.8924360363911,96.14945643248925,98.20671152275693,0.030908974288942685,0.03884779684433616,0.0015419223594958001,,,,1.3289229005766714,1.6645051528554888,0.024095971076690877,11.171820743541348,94.60372394769105,99.36274994024132,55.26728534189132,19.98374669117027,2fhz
gat2_01_rsasa_i,904,789192,4691369,4691369,0.0312126165697032,1.6848859711262454,49.18891727234944,50.81108272765056,99.99797260996057,99.26177660189155,99.81457438116678,0.05374640783505546,0.06022350004790699,0.05305448327794737,,,,1.4885480926682861,1.8351883838466068,-0.06218457838353359,20.14908654595279,90.4805981321293,97.8801283804365,59.01460746319464,32.95862964445455,2fju
gat2_01_rsasa_i,1263,482466,2773060,2773060,0.03028251831767503,1.1728862816623378,49.12594877151965,50.87405122848034,99.97989495632854,98.17624454365696,98.57734776744823,0.023157898265967675,0.029504411971188537,-0.0023584968196122325,,,,1.2349105945561378,1.5286739461958727,-0.029579508012189153,15.998211362177523,95.56799234835658,99.25807591613597,57.62814363915675,27.40824533233826,2sic
gat2_01_rsasa_i,1339,283868,1525894,1525894,0.030341834259776865,1.3561903925416274,50.987430777685404,49.012569222314596,99.95631772513985,97.82293178519593,99.29634692842359,0.03193917615572204,0.03973790546892132,-0.01957803216438708,,,,1.32807051973891,1.6445532015512196,-0.09123411554797646,11.40800081788119,95.32294718396626,99.44026256083319,55.42413168935719,20.377299739129263,3fpn
gat2_01_rsasa_i,1304,297312,1612616,1612616,0.03088852230942326,1.1896658140206804,52.41328974276181,47.58671025723819,99.98385534388117,97.36472123560435,98.39968101519518,0.041393310117100554,0.04960280584256062,-0.035332282547827054,,,,1.266059076619212,1.5389296023051966,-0.009314002632616359,8.201208471204552,94.87918962350781,99.55736517559048,53.87928682339751,15.097419646485633,3sgb
gat2_01_rsasa_i,1345,438470,2532750,2532750,0.031811589026563857,1.6023969985379034,47.513170798458276,52.48682920154173,99.98585992200151,98.05209022282027,99.19431448030797,0.028310425156951265,0.035559094426764706,0.0055810803415854305,,,,1.4486109715654611,1.7882736641283052,-0.09367580680180697,13.619228111736255,95.38400703473677,99.34091402625604,56.48007106899615,23.8351925660175,3wdg
gat2_01_rsasa_i,1329,734937,4155854,4155854,0.029800993629186028,1.4347025460811198,52.760032492581,47.239967507419,99.9897950436568,99.10182777571411,99.7994876624636,0.02658715017253525,0.03267167321865103,-0.0059802772263786675,,,,1.3448729725963062,1.6931412637891223,-0.00900585045679648,8.525973241600884,96.97280698873526,99.73384531795391,54.12990927977739,15.673878991657602,4hwi
gat2_01_rsasa_i,1109,341572,1865672,1865672,0.03246028843523439,1.4323795011198546,48.05458292834307,51.94541707165693,99.3357183844109,96.9376881008982,97.63286365449018,0.02894702919607815,0.036866799915299966,-0.00841079874787246,,,,1.3564079139446805,1.6870200744345998,-0.037043341730943924,12.324888833621344,94.8015056627266,99.32415772976172,55.824523281691526,21.81382140314378,4qjf
gat2_01_rsasa_i,932,759580,4314286,4314286,0.029813729213223623,1.626988783352745,53.2923457700308,46.7076542299692,99.9757760867848,98.90268306169199,99.61945035632779,0.02826323955807786,0.03575150559345418,-0.013732944902058803,,,,1.4561685124161479,1.802975686919965,-0.014134398363473974,12.193466079902908,94.80592270068232,99.33196362039976,55.762714850151326,21.60783936803988,4u1c
gat2_01_rsasa_i,1297,482484,2573379,2573379,0.03148454325509941,1.1118126653198632,51.24978237620314,48.75021762379686,99.75087256779499,96.70766284477827,98.01731497770052,0.03274489467832519,0.04103171177762608,-0.024388880783082826,,,,1.1620248426822162,1.4860273551198382,-0.007912439374691207,14.410081064623595,96.36374503337933,99.45624021957123,56.93316064209741,25.071073673905538,5maw
gat2_01_rsasa_i,1145,596545,3447138,3447138,0.030118530430601347,1.3529826933717368,53.34752617153777,46.65247382846223,99.98373970111224,97.96913895850271,99.61072054556563,0.027190534255332133,0.03451353614147563,-0.0026183389080356215,,,,1.3175966842990021,1.6433332221290793,-0.018155817989078643,14.723750543204247,94.86984900765242,99.20380327100337,56.9637769071038,25.491269500860348,5mu7
gat2_01_rsasa_i,1205,226540,1113469,1113469,0.035513853917066664,1.1665839167149195,45.017656925929195,54.982343074070805,99.92186810276331,92.7452105588417,97.72458865042493,0.05875255586695374,0.0711640632869855,-0.05448387722435681,,,,1.2478191726663508,1.5213532985265916,-0.03060906209998344,13.532123480761477,95.77371682822184,99.40285719674279,56.467490338752135,23.71367822007343,8enf
